name,code,owner,type,country,district_name,status,start_date,expiry_date,assets,geometry
RL6/91,RL6/91,Temkoni Goldfields Limited,Prospecting Licence (Ghanaian),GH,Asante Akim South,Active License,6/27/2024,6/26/2027,Gold,"POLYGON ((-1.25 6.25,-1.225 6.25,-1.225 6.2458333333,-1.2166666667 6.2458333333,-1.2166666667 6.2208333333,-1.2041666667 6.2208333333,-1.2041666667 6.1958333333,-1.2083333333 6.1958333333,-1.2083333333 6.0833333333,-1.2791666667 6.0833333333,-1.2791666667 6.1083333333,-1.2458333333 6.1083333333,-1.2458333333 6.1125,-1.2166666667 6.1125,-1.2166666667 6.1333333333,-1.2333333333 6.1333333333,-1.2333333333 6.1375,-1.25 6.1375,-1.25 6.25))"
RL6/124,RL6/124,Gondwana Minerals Ghana Limited,Prospecting Licence (Ghanaian),GH,Asante Akim South,Active License,6/27/2024,6/26/2027,Gold,"POLYGON ((-1.32508055555556 6.29596111111111,-1.32508333333333 6.30017777777778,-1.31675 6.30018333333333,-1.31675277777778 6.30426388888889,-1.30428333333333 6.30427222222222,-1.30428611111111 6.30848888888889,-1.29601388888889 6.30849444444444,-1.29601388888889 6.31269166666667,-1.28354444444444 6.31269722222222,-1.28354722222222 6.31685833333333,-1.27101944444444 6.31686388888889,-1.27102222222222 6.32086944444444,-1.26267222222222 6.32087222222222,-1.26267222222222 6.32512777777778,-1.25005 6.32513611111111,-1.25004444444444 6.31673888888889,-1.25839722222222 6.3167361111,-1.25839444444444 6.31267222222222,-1.25429722222222 6.312675,-1.25429444444444 6.30845833333333,-1.25848888888889 6.30845555555556,-1.25848611111111 6.3001388889,-1.25430833333333 6.3001388889,-1.25430277777778 6.295925,-1.27095277777778 6.2959,-1.27095 6.29169722222222,-1.27937777777778 6.29169444444444,-1.279375 6.28759166666667,-1.28349444444444 6.28758888888889,-1.28349166666667 6.28350833333333,-1.28764722222222 6.28350555555556,-1.28765 6.28768333333333,-1.29171111111111 6.28768055555556,-1.29171111111111 6.291725,-1.30015833333333 6.29171944444444,-1.30016111111111 6.29601388888889,-1.31678611111111 6.29600555555556,-1.31678333333333 6.29184444444444,-1.32092222222222 6.29184166666667,-1.32091944444444 6.287625,-1.32932777777778 6.28761944444444,-1.329325 6.28353888888889,-1.33340555555556 6.28353611111111,-1.3334027778 6.27933888888889,-1.33759722222222 6.27933611111111,-1.33759166666667 6.27099722222222,-1.34592222222222 6.27099166666667,-1.34592777777778 6.27931111111111,-1.34179166666667 6.27931388888889,-1.34179444444444 6.28337777777778,-1.33756111111111 6.28338055555556,-1.33756666666667 6.29186944444444,-1.35015 6.29186111111111,-1.35015277777778 6.29594444444444,-1.32508055555556 6.29596111111111,-1.32508055555556 6.29596111111111))"
RL5/36,RL5/36,FGM Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Asante Akim South,Active License,1/4/2024,1/3/2027,Gold,"POLYGON ((-1.0458333333 6.4333333333,-1.0208333333 6.4333333333,-1.0208333333 6.4291666667,-1.0083333333 6.4291666667,-1.0083333333 6.4208333333,-1.0125 6.4208333333,-1.0125 6.4166666667,-1.0458333333 6.4166666667,-1.0458333333 6.4333333333,-1.0458333333 6.4333333333))"
PL6/152,PL6/152,FGM Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Asante Akim South,Active License,11/6/2023,11/5/2026,Gold,"POLYGON ((-1.0458333333 6.45,-1.0125 6.45,-1.0125 6.4375,-1.0208333333 6.4375,-1.0208333333 6.4333333333,-1.0458333333 6.4333333333,-1.0458333333 6.45))"
ML6/193,ML6/193,Obenemase Goldmines,Mining Lease,GH,Asante Akim South,Active License,10/16/1997,10/15/2027,Gold,"POLYGON ((-1.1972222222 6.5927777778,-1.173055555555 6.6138888889,-1.1608333333 6.638055555555,-1.1927777778 6.684444444445,-1.205 6.6791666667,-1.2288888889 6.6652777778,-1.1972222222 6.5927777778))"
ML5/199 (Akyem West),ML5/199 (Akyem West),Newmont Golden Ridge Limited,Mining Lease,GH,Asante Akim South,Active License,1/19/2025,1/18/2030,Gold,"POLYGON ((-1.10833055555556 6.35800555555556,-1.05416944444444 6.35800555555556,-1.05416944444444 6.31217777777778,-1.075 6.31217777777778,-1.075 6.33300555555556,-1.07916944444444 6.33300555555556,-1.07916944444444 6.34134722222222,-1.0875 6.34134722222222,-1.0875 6.349675,-1.10833055555556 6.349675,-1.10833055555556 6.35800555555556))"
SSML-K6 1/2020,SSML-K6 1/2020,Justiboah 2 Company Limited,Small Scale Licence (Konongo District),GH,Asante Akim South,Active License,10/7/2020,10/6/2025,Gold,"POLYGON ((-1.01 6.4466666667,-1.0125 6.4466666667,-1.0125 6.4483333333,-1.01 6.4483333333,-1.01 6.4466666667))"
SSML-AK5 19/2023,SSML-AK5 19/2023,Ntronang Mining And Construction Limited,Small Scale Licence (Akim Oda District),GH,Asante Akim South,Active License,12/13/2023,12/12/2028,Gold,"POLYGON ((-1.1083333333 6.3416666667,-1.1108333333 6.3416666667,-1.1108333333 6.345,-1.1091666667 6.345,-1.1091666667 6.3441666667,-1.1083333333 6.3441666667,-1.1083333333 6.3416666667))"
SSML-K6 2/2022,SSML-K6 2/2022,Gracelart2002 Mining Enterprise,Small Scale Licence (Konongo District),GH,Asante Akim South,Active License,9/14/2022,10/13/2022,Gold,"POLYGON ((-1.1275 6.3208333333,-1.125 6.3208333333,-1.125 6.3175,-1.1275 6.3175,-1.1275 6.3208333333))"
PL6/796,PL6/796,High Street Limited,Prospecting Licence (Ghanaian),GH,Asante Akim South,Active License,6/27/2023,6/26/2026,"Gold,.","POLYGON ((-1.0291666667 6.6458333333,-1.0208333333 6.6458333333,-1.0208333333 6.6375,-1.0166666667 6.6375,-1.0166666667 6.6208333333,-1.0125 6.6208333333,-1.0125 6.6,-1.0041666667 6.6,-1.0041666667 6.5958333333,-1 6.5958333333,-1 6.575,-1.0041666667 6.575,-1.0041666667 6.5541666667,-1.0083333333 6.5541666667,-1.0083333333 6.5375,-1.0333333333 6.5375,-1.0333333333 6.5333333333,-1.0583333333 6.5333333333,-1.0583333333 6.5416666667,-1.0541666667 6.5416666667,-1.0541666667 6.5375,-1.05 6.5375,-1.05 6.5666666667,-1.0458333333 6.5666666667,-1.0458333333 6.5833333333,-1.05 6.5833333333,-1.05 6.5958333333,-1.0458333333 6.5958333333,-1.0458333333 6.6083333333,-1.0416666667 6.6083333333,-1.0416666667 6.6166666667,-1.0375 6.6166666667,-1.0375 6.625,-1.0333333333 6.625,-1.0333333333 6.6375,-1.0291666667 6.6375,-1.0291666667 6.6458333333))"
PL (G)-5/820,PL (G)-5/820,Gamah Gold Limited Company,Prospecting Licence (Ghanaian),GH,Asante Akim South,Active License,1/26/2024,1/25/2027,Gold,"POLYGON ((-0.8958 6.575,-0.9 6.575,-0.9 6.5875,-0.9083 6.5875,-0.9083 6.5917,-0.9167 6.5917,-0.9167 6.5875,-0.9208 6.5875,-0.9208 6.5833,-0.925 6.5833,-0.925 6.6125,-0.9208 6.6125,-0.9208 6.6,-0.9167 6.6,-0.9167 6.6167,-0.9125 6.6167,-0.9125 6.6083,-0.9083 6.6083,-0.9083 6.6042,-0.9042 6.6042,-0.9042 6.5958,-0.9 6.5958,-0.9 6.5917,-0.8958 6.5917,-0.8958 6.575))"
QL.6/586,QL.6/586,West Coast Construction Limited,Restricted Mining Lease >25 acres (National),GH,Asante Akim South,Active License,8/29/2022,8/28/2027,Granite,"POLYGON ((-1.1783333333 6.59,-1.1775 6.59,-1.1775 6.5875,-1.1783333333 6.5875,-1.1783333333 6.5866666667,-1.1791666667 6.5866666667,-1.1791666667 6.5883333333,-1.1816666667 6.5883333333,-1.1816666667 6.59,-1.1783333333 6.59))"
RML-N-6/169,RML-N-6/169,ATTACHY CONSTRUCTION LIMITED,Restricted Mining Lease >25 acres (National),GH,Asante Akim South,Active License,11/28/2024,11/27/2029,Granite,"POLYGON ((-1.1842 6.59,-1.1817 6.59,-1.1817 6.5883,-1.1833 6.5883,-1.1833 6.5858,-1.18 6.5858,-1.18 6.585,-1.1842 6.585,-1.1842 6.59))"
PL5/785,PL5/785,Witepearl Enterprise Ltd,Prospecting Licence (Ghanaian),GH,Asante Akim South,Active License,3/3/2023,3/2/2026,"Gold,.","POLYGON ((-1.0833333333 6.3708333333,-1.0833333333 6.3583333333,-1.1083333333 6.3583333333,-1.1083333333 6.3625,-1.1 6.3625,-1.1 6.3666666667,-1.0916666667 6.3666666667,-1.0916666667 6.3708333333,-1.0875 6.3708333333,-1.0875 6.375,-1.0791666667 6.375,-1.0791666667 6.3791666667,-1.0541666667 6.3791666667,-1.0541666667 6.3708333333,-1.0833333333 6.3708333333))"
MC/SSMP/ER/1191,MC/SSMP/ER/1191,Chester Gold Enterprise,Small Scale Licence (Akim Oda District),GH,Asante Akim South,Active License,6/4/2024,6/3/2029,Gold,"POLYGON ((-1.0075 6.4458333333,-1.005 6.4458333333,-1.005 6.4441666667,-1.0075 6.4441666667,-1.0075 6.4458333333))"
MLF 25/3,MLF 25/3,SIKADWASO GLOBAL LIMITED COMPANY,Mining Lease (Foreign),GH,Asante Akim South,Active License,1/3/2025,1/2/2055,Gold,"POLYGON ((-0.9583333333 6.45,-0.9583333333 6.4416666667,-0.9708333333 6.4416666667,-0.9708333333 6.4375,-0.9916666667 6.4375,-0.9916666667 6.4458333333,-1.0125 6.4458333333,-1.0125 6.45,-0.9583333333 6.45))"
SL1/86,SL1/86,ElectroChem Ghana Limited,Restricted Mining Lease >25 acres (National),GH,Ada East,Active License,10/29/2020,10/28/2035,Salt,"POLYGON ((0.5083333333 5.7875,0.4416666667 5.7875,0.4416666667 5.7958333333,0.4375 5.7958333333,0.4375 5.8,0.4333333333 5.8,0.4333333333 5.8416666667,0.4291666667 5.8416666667,0.4291666667 5.8541666667,0.4375 5.8541666667,0.4375 5.8666666667,0.4458333333 5.8666666667,0.4458333333 5.8625,0.4875 5.8625,0.4875 5.8583333333,0.4916666667 5.8583333333,0.4916666667 5.8541666667,0.5 5.8541666667,0.5 5.85,0.5041666667 5.85,0.5041666667 5.8041666667,0.5083333333 5.8041666667,0.5083333333 5.7875,0.5083333333 5.7875))"
SL1/87,SL1/87,ElectroChem Ghana Limited,Restricted Mining Lease >25 acres (National),GH,Ada East,Active License,10/29/2020,10/28/2035,Salt,"POLYGON ((0.5833333333 5.7791666667,0.5416666667 5.7791666667,0.5416666667 5.7833333333,0.5083333333 5.7833333333,0.5083333333 5.8041666667,0.5041666667 5.8041666667,0.5041666667 5.85,0.5458333333 5.85,0.5458333333 5.8458333333,0.5833333333 5.8458333333,0.5833333333 5.7791666667))"
RML-N-3/108,RML-N-3/108,Ada Songor Salt Limited,Restricted Mining Lease >25 acres (National),GH,Ada East,Active License,11/14/1996,11/13/2026,Salt,"POLYGON ((0.4288888889 5.799444444445,0.365555555555 5.799444444445,0.3666666667 5.8252777778,0.3952777778 5.8341666667,0.4036111111 5.8397222222,0.4027777778 5.845,0.4166666667 5.853055555555,0.4372222222 5.8552777778,0.4363888889 5.8658333333,0.4761111111 5.8597222222,0.4888888889 5.8472222222,0.4958333333 5.8233333333,0.4966666667 5.790555555555,0.496944444445 5.7833333333,0.435555555555 5.7861111111,0.4288888889 5.799444444445))"
QL1/593,QL1/593,Generex Limited,Restricted Mining Lease < 25 Acres (National),GH,Shai Osudoku,Active License,6/22/2018,6/21/2023,Granite,"POLYGON ((0.0375 5.8158333333,0.0375 5.8191666667,0.0383333333 5.8191666667,0.0383333333 5.8233333333,0.0408333333 5.8233333333,0.0408333333 5.8216666667,0.0416666667 5.8216666667,0.0416666667 5.8191666667,0.0408333333 5.8191666667,0.0408333333 5.8166666667,0.04 5.8166666667,0.04 5.8158333333,0.0375 5.8158333333))"
QL-1/1001,QL-1/1001,Messaike & Sabbagh Company Limited,Restricted Mining Lease (Foreign),GH,Shai Osudoku,Active License,10/19/2017,10/18/2022,Granite,"POLYGON ((0.038794444444444 5.842625,0.0433333333 5.84056944444444,0.042497222222222 5.83811666666667,0.039241666666667 5.84029444444444,0.038794444444444 5.842625))"
QL1/1077,QL1/1077,"Eshun, Priscilla",Restricted Mining Lease (Sand & Gravel),GH,Shai Osudoku,Active License,11/20/2020,11/19/2022,Sand/ Gravel,"POLYGON ((0.0075 5.9141666667,0.0058333333 5.9141666667,0.0058333333 5.9166666667,0.0075 5.9166666667,0.0075 5.9141666667))"
QL1/1149,QL1/1149,Allsheeba Company Limited,Restricted Mining Lease >25 acres (National),GH,Shai Osudoku,Active License,11/16/2023,11/15/2028,Granite,"POLYGON ((-0.0558333333 5.8558333333,-0.05425 5.85594444444444,-0.0541666667 5.8583333333,-0.0558333333 5.8583333333,-0.0558333333 5.8558333333))"
QL.7/7,QL.7/7,Kasap Limited,Restricted Mining Lease >25 acres (National),GH,Shai Osudoku,Active License,8/10/2022,8/9/2027,Granite,"POLYGON ((0.08 5.9983333333,0.0816666667 5.9983333333,0.0816666667 5.9975,0.0825 5.9975,0.0825 5.9916666667,0.0775 5.9916666667,0.0775 5.9958333333,0.0791666667 5.9958333333,0.0791666667 5.9966666667,0.08 5.9966666667,0.08 5.9983333333,0.08 5.9983333333))"
QL1/552,QL1/552,Massey Stone (Gh) Limited,Restricted Mining Lease >25 acres (International),GH,Shai Osudoku,Active License,10/13/2021,10/12/2026,Granite,"POLYGON ((0.05 6.0491666667,0.0533333333 6.0491666667,0.0533333333 6.045,0.0516666667 6.045,0.0516666667 6.0441666667,0.0508333333 6.0441666667,0.0508333333 6.045,0.0491666667 6.045,0.0491666667 6.0475,0.05 6.0475,0.05 6.0491666667))"
QL.1/1224,QL.1/1224,Uniafrica Construction Limited,Restricted Mining Lease <25 acres (International),GH,Shai Osudoku,Active License,10/3/2022,10/2/2027,Granite,"POLYGON ((0.0358333333 5.8325,0.0383333333 5.8325,0.0383333333 5.8291666667,0.0366666667 5.8291666667,0.0366666667 5.83,0.0358333333 5.83,0.0358333333 5.8325))"
RML-N-1/168,RML-N-1/168,Currency Mining Limited,Restricted Mining Lease (Ghanaian),GH,Shai Osudoku,Active License,1/2/2025,1/1/2030,Granite,"POLYGON ((0.0225 5.9841666667,0.0275 5.9841666667,0.0275 5.9975,0.0266666667 5.9975,0.0266666667 5.9966666667,0.0241666667 5.9966666667,0.0241666667 5.9958333333,0.0225 5.9958333333,0.0225 5.9841666667))"
RML-N-1/181,RML-N-1/181,Saank Quarry Limited,Restricted Mining Lease >25 acres (National),GH,Shai Osudoku,Active License,11/17/2023,11/16/2028,Granite,"POLYGON ((0.0708333333 6.0525,0.0683333333 6.0525,0.0683333333 6.0541666667,0.0675 6.0541666667,0.0675 6.0558333333,0.0708333333 6.0558333333,0.0708333333 6.0525))"
RML-N25-1/102,RML-N25-1/102,Afriyach limited Company,Restricted Mining Lease < 25 Acres (National),GH,Shai Osudoku,Active License,3/12/2024,3/11/2029,Granite,"POLYGON ((0.0508333333 5.8266666667,0.0525 5.8266666667,0.0525 5.825,0.0558333333 5.825,0.0558333333 5.8233333333,0.0541666667 5.8233333333,0.0541666667 5.8241666667,0.0508333333 5.8241666667,0.0508333333 5.8266666667))"
RML-QL-1/293,RML-QL-1/293,Baruch Services Gh (Base Gh,Restricted Mining Lease (Sand & Gravel),GH,Shai Osudoku,Active License,5/2/2024,5/1/2026,Sand/ Gravel,"POLYGON ((0.0142 5.9817,0.0158 5.9817,0.0158 5.9808,0.0142 5.9808,0.0142 5.9817))"
PL9/37,PL9/37,Cardinal Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Kasena Nankana East,Active License,2/6/2023,2/5/2026,Gold,"POLYGON ((-0.8916666667 10.975,-0.8916666667 10.9625,-0.8958333333 10.9625,-0.8958333333 10.9541666667,-0.8666666667 10.9541666667,-0.8666666667 10.9708333333,-0.8583333333 10.9708333333,-0.8583333333 10.9875,-0.8458333333 10.9875,-0.8458333333 10.9916666667,-0.8372222222 10.9916666667,-0.8372222222 10.9416666667,-0.8416666667 10.9416666667,-0.8416666667 10.9375,-0.8458333333 10.9375,-0.8458333333 10.8166666667,-0.9291666667 10.8166666667,-0.9291666667 10.9333333333,-0.9208333333 10.9333333333,-0.9208333333 10.975,-0.8916666667 10.975,-0.8916666667 10.975))"
PL9/28,PL9/28,Cardinal Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Kasena Nankana East,Active License,2/6/2023,2/5/2026,Gold,"POLYGON ((-1.08765277777778 10.6416138888889,-0.99595 10.6417472222222,-0.99595 10.625325,-0.987680555555556 10.6252277777778,-0.987680555555556 10.6167694444444,-0.983488888888889 10.6167694444444,-0.983533333333333 10.5126527777778,-1.0459 10.5126111111111,-1.04596944444444 10.5334638888889,-1.05005555555556 10.5334611111111,-1.05005 10.5500027777778,-1.05416944444444 10.5500027777778,-1.05417222222222 10.5627694444444,-1.05860833333333 10.5627694444444,-1.0586111111 10.5710138888889,-1.06264166666667 10.5710111111111,-1.06264444444444 10.5834666666667,-1.0669 10.5834666666667,-1.06690277777778 10.6001333333333,-1.07523333333333 10.6001305555556,-1.07523888888889 10.612675,-1.07926666666667 10.6126722222222,-1.07927222222222 10.6250833333333,-1.08348333333333 10.6250833333333,-1.08348611111111 10.6333694444444,-1.08765 10.6333694444444,-1.08765277777778 10.6416138888889,-1.08765277777778 10.6416138888889))"
PL9/38,PL9/38,Cardinal Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Kasena Nankana East,Active License,2/6/2023,2/5/2026,Gold,"POLYGON ((-1 10.9916666667,-0.9666666667 10.9916666667,-0.9666666667 10.9958333333,-0.9208333333 10.9958333333,-0.9208333333 10.9333333333,-0.9291666667 10.9333333333,-0.9291666667 10.8166666667,-0.9791666667 10.8166666667,-0.9791666667 10.8291666667,-1 10.8291666667,-1 10.9916666667,-1 10.9916666667))"
PL (G)-9/832,PL (G)-9/832,Supra Natural Resources Ltd,Prospecting Licence (Ghanaian),GH,Kasena Nankana East,Active License,1/2/2025,1/1/2028,Gold,"POLYGON ((-1.0042 10.8417,-1 10.8417,-1 10.8292,-0.9875 10.8292,-0.9875 10.825,-0.9917 10.825,-0.9917 10.8167,-0.9958 10.8167,-0.9958 10.8042,-1 10.8042,-1 10.7958,-1.0042 10.7958,-1.0042 10.7917,-1.0083 10.7917,-1.0083 10.7875,-1.0125 10.7875,-1.0125 10.7792,-1.0208 10.7792,-1.0208 10.7708,-1.025 10.7708,-1.025 10.7667,-1.0292 10.7667,-1.0292 10.7625,-1.0333 10.7625,-1.0333 10.7458,-1.0292 10.7458,-1.0292 10.7333,-1.0333 10.7333,-1.0333 10.7417,-1.0375 10.7417,-1.0375 10.75,-1.0417 10.75,-1.0417 10.775,-1.025 10.775,-1.025 10.7917,-1.0125 10.7917,-1.0125 10.8083,-1.0042 10.8083,-1.0042 10.8417))"
PL (G)-9/834,PL (G)-9/834,Supra Natural Resources Ltd,Prospecting Licence (Ghanaian),GH,Kasena Nankana East,Active License,1/2/2025,1/1/2028,Gold,"POLYGON ((-1.1292 10.7375,-1.125 10.7375,-1.125 10.6958,-1.1167 10.6958,-1.1167 10.6917,-1.1208 10.6917,-1.1208 10.6875,-1.125 10.6875,-1.125 10.6833,-1.1333 10.6833,-1.1333 10.675,-1.1375 10.675,-1.1375 10.6708,-1.15 10.6708,-1.15 10.6667,-1.1542 10.6667,-1.1542 10.6583,-1.1708 10.6583,-1.1708 10.6542,-1.1833 10.6542,-1.1833 10.65,-1.1917 10.65,-1.1917 10.6458,-1.1958 10.6458,-1.1958 10.675,-1.1833 10.675,-1.1833 10.6708,-1.175 10.6708,-1.175 10.6667,-1.1583 10.6667,-1.1583 10.6708,-1.1542 10.6708,-1.1542 10.675,-1.1458 10.675,-1.1458 10.7042,-1.1542 10.7042,-1.1542 10.7083,-1.1292 10.7083,-1.1292 10.7375))"
SL1/86,SL1/86,ElectroChem Ghana Limited,Restricted Mining Lease >25 acres (National),GH,Ada West,Active License,10/29/2020,10/28/2035,Salt,"POLYGON ((0.5083333333 5.7875,0.4416666667 5.7875,0.4416666667 5.7958333333,0.4375 5.7958333333,0.4375 5.8,0.4333333333 5.8,0.4333333333 5.8416666667,0.4291666667 5.8416666667,0.4291666667 5.8541666667,0.4375 5.8541666667,0.4375 5.8666666667,0.4458333333 5.8666666667,0.4458333333 5.8625,0.4875 5.8625,0.4875 5.8583333333,0.4916666667 5.8583333333,0.4916666667 5.8541666667,0.5 5.8541666667,0.5 5.85,0.5041666667 5.85,0.5041666667 5.8041666667,0.5083333333 5.8041666667,0.5083333333 5.7875,0.5083333333 5.7875))"
SL1/84,SL1/84,ElectroChem Ghana Limited,Restricted Mining Lease >25 acres (National),GH,Ada West,Active License,10/29/2020,10/28/2035,Salt,"POLYGON ((0.4208333333 5.8,0.3666666667 5.8,0.3666666667 5.8291666667,0.3791666667 5.8291666667,0.3791666667 5.8333333333,0.3916666667 5.8333333333,0.3916666667 5.8375,0.4041666667 5.8375,0.4041666667 5.8458333333,0.4166666667 5.8458333333,0.4166666667 5.8541666667,0.4291666667 5.8541666667,0.4291666667 5.8416666667,0.4333333333 5.8416666667,0.4333333333 5.8,0.4375 5.8,0.4375 5.7958333333,0.4416666667 5.7958333333,0.4416666667 5.7875,0.4166666667 5.7875,0.4166666667 5.7916666667,0.4208333333 5.7916666667,0.4208333333 5.8))"
RML-N-3/108,RML-N-3/108,Ada Songor Salt Limited,Restricted Mining Lease >25 acres (National),GH,Ada West,Active License,11/14/1996,11/13/2026,Salt,"POLYGON ((0.4288888889 5.799444444445,0.365555555555 5.799444444445,0.3666666667 5.8252777778,0.3952777778 5.8341666667,0.4036111111 5.8397222222,0.4027777778 5.845,0.4166666667 5.853055555555,0.4372222222 5.8552777778,0.4363888889 5.8658333333,0.4761111111 5.8597222222,0.4888888889 5.8472222222,0.4958333333 5.8233333333,0.4966666667 5.790555555555,0.496944444445 5.7833333333,0.435555555555 5.7861111111,0.4288888889 5.799444444445))"
QL1/593,QL1/593,Generex Limited,Restricted Mining Lease < 25 Acres (National),GH,Ningo/prampram,Active License,6/22/2018,6/21/2023,Granite,"POLYGON ((0.0375 5.8158333333,0.0375 5.8191666667,0.0383333333 5.8191666667,0.0383333333 5.8233333333,0.0408333333 5.8233333333,0.0408333333 5.8216666667,0.0416666667 5.8216666667,0.0416666667 5.8191666667,0.0408333333 5.8191666667,0.0408333333 5.8166666667,0.04 5.8166666667,0.04 5.8158333333,0.0375 5.8158333333))"
QL-1/980,QL-1/980,MC Under Review,Restricted Mining Lease (Small Scale),GH,Ningo/prampram,Under Review,10/18/2017,10/17/2022,Granite,"POLYGON ((0.055552777777778 5.81195833333333,0.054636111111111 5.81015833333333,0.049775 5.81295277777778,0.051405555555556 5.81445,0.055552777777778 5.81195833333333))"
QL1/614,QL1/614,Greenstone Quarry Ghana Limited,Restricted Mining Lease (Foreign),GH,Ningo/prampram,Active License,4/30/2019,4/29/2024,Granite,"POLYGON ((-0.035 5.82,-0.0366666667 5.82,-0.0366666667 5.8191666667,-0.0375 5.8191666667,-0.0375 5.8133333333,-0.035 5.8133333333,-0.035 5.82))"
RML-QL-GH/302,RML-QL-GH/302,"Botchway, Solomon Teye",Restricted Mining Lease (Sand & Gravel),GH,Ningo/prampram,Active License,10/24/2024,10/23/2026,Sand/ Gravel,"POLYGON ((0.3175 5.84,0.3192 5.84,0.3192 5.8392,0.3175 5.8392,0.3175 5.84))"
QL1/1256,QL1/1256,Ivag Construction Limited,Restricted Mining Lease >25 acres (National),GH,Ningo/prampram,Active License,12/20/2022,12/19/2027,Granite,"POLYGON ((0.0492 5.8192,0.0492 5.8217,0.0533 5.8217,0.0533 5.8192,0.0492 5.8192))"
QL1/993,QL1/993,Flavour Company Ghana Limited,Restricted Mining Lease (Sand & Gravel),GH,Ningo/prampram,Active License,9/17/2020,9/16/2025,Sand,"POLYGON ((0.2566666667 5.8908333333,0.2566666667 5.8916666667,0.2591666667 5.8916666667,0.2591666667 5.89,0.2575 5.89,0.2575 5.8908333333,0.2566666667 5.8908333333))"
QL.1/586/Vol.2,QL.1/586/Vol.2,Cedar Quarry (GH) Limited,Restricted Mining Lease (Ghanaian),GH,Ningo/prampram,Active License,11/17/2023,11/16/2028,Granite,"POLYGON ((-0.0375 5.8275,-0.0341666667 5.8275,-0.0341666667 5.8291666667,-0.0325 5.8291666667,-0.0325 5.8283333333,-0.0308333333 5.8283333333,-0.0308333333 5.8275,-0.0291666667 5.8275,-0.0291666667 5.8266666667,-0.03 5.8266666667,-0.03 5.8258333333,-0.0316666667 5.8258333333,-0.0316666667 5.825,-0.0341666667 5.825,-0.0341666667 5.8258333333,-0.0358333333 5.8258333333,-0.0358333333 5.8266666667,-0.0375 5.8266666667,-0.0375 5.8275))"
RML-QL-1/292,RML-QL-1/292,Abanell Enterprise,Restricted Mining Lease (Sand & Gravel),GH,Ningo/prampram,Active License,4/9/2024,4/8/2026,Sand/ Gravel,"POLYGON ((0.2316666667 5.8608333333,0.23 5.8608333333,0.23 5.8616666667,0.2316666667 5.8616666667,0.2316666667 5.8608333333))"
RML-QL-1/296,RML-QL-1/296,Vast Sky Ltd,Restricted Mining Lease (Small Scale),GH,Ningo/prampram,Active License,6/26/2024,6/25/2026,Sand/ Gravel,"POLYGON ((0.2683 5.8242,0.2692 5.8242,0.2692 5.8208,0.2675 5.8208,0.2675 5.8217,0.2683 5.8217,0.2683 5.8242))"
RML-QL-GH/299,RML-QL-GH/299,Jonadan Resources Ltd,Restricted Mining Lease (Sand & Gravel),GH,Ningo/prampram,Active License,9/4/2024,9/3/2026,Sand/ Gravel,"POLYGON ((0.2925 5.9283,0.2925 5.93,0.2942 5.93,0.2942 5.9292,0.295 5.9292,0.295 5.9283,0.2925 5.9283))"
RML-N25-1/102,RML-N25-1/102,Afriyach limited Company,Restricted Mining Lease < 25 Acres (National),GH,Ningo/prampram,Active License,3/12/2024,3/11/2029,Granite,"POLYGON ((0.0508333333 5.8266666667,0.0525 5.8266666667,0.0525 5.825,0.0558333333 5.825,0.0558333333 5.8233333333,0.0541666667 5.8233333333,0.0541666667 5.8241666667,0.0508333333 5.8241666667,0.0508333333 5.8266666667))"
RML-QL-1/303,RML-QL-1/303,"Amponsah, Emmanuel Kwasi",Restricted Mining Lease (Sand & Gravel),GH,Ningo/prampram,Active License,12/30/2024,12/29/2026,Sand/ Gravel,"POLYGON ((0.2616666667 5.8441666667,0.2616666667 5.845,0.2633333333 5.845,0.2633333333 5.8441666667,0.2616666667 5.8441666667))"
PL9/40,PL9/40,Bandaja Company Limited,Prospecting Licence (Ghanaian),GH,Bawku West,Under Review,1/14/2019,1/13/2021,Gold,"POLYGON ((-0.5833333333 10.8833333333,-0.5 10.8833333333,-0.5 10.7166666667,-0.5208333333 10.7166666667,-0.5208333333 10.6833333333,-0.5 10.6833333333,-0.5 10.6541666667,-0.5083333333 10.6541666667,-0.5083333333 10.6583333333,-0.5166666667 10.6583333333,-0.5166666667 10.6625,-0.5208333333 10.6625,-0.5208333333 10.675,-0.525 10.675,-0.525 10.6916666667,-0.5291666667 10.6916666667,-0.5291666667 10.7083333333,-0.5333333333 10.7083333333,-0.5333333333 10.7208333333,-0.5375 10.7208333333,-0.5375 10.7333333333,-0.5416666667 10.7333333333,-0.5416666667 10.75,-0.5375 10.75,-0.5375 10.7666666667,-0.5416666667 10.7666666667,-0.5416666667 10.775,-0.5458333333 10.775,-0.5458333333 10.7791666667,-0.55 10.7791666667,-0.55 10.8125,-0.5541666667 10.8125,-0.5541666667 10.825,-0.5625 10.825,-0.5625 10.8375,-0.5708333333 10.8375,-0.5708333333 10.8541666667,-0.5833333333 10.8541666667,-0.5833333333 10.8833333333,-0.5833333333 10.8833333333))"
