name,code,owner,type,country,district_name,status,start_date,expiry_date,assets,geometry
PL10/12,PL10/12,Azumah Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Jirapa,Active License,12/23/2020,12/22/2023,Gold,"POLYGON ((-2.7291666667 10.4291666667,-2.7625 10.4291666667,-2.7625 10.425,-2.775 10.425,-2.775 10.4541666667,-2.7791666667 10.4541666667,-2.7791666667 10.4791666667,-2.7833333333 10.4791666667,-2.7833333333 10.5,-2.7875 10.5,-2.7875 10.5166666667,-2.7916666667 10.5166666667,-2.7916666667 10.5291666667,-2.8041666667 10.5291666667,-2.8041666667 10.5375,-2.8125 10.5375,-2.8125 10.5416666667,-2.825 10.5416666667,-2.825 10.55,-2.8333333333 10.55,-2.8333333333 10.5541666667,-2.8416666667 10.5541666667,-2.84169166666667 10.5707666666667,-2.74987777777778 10.5708777777778,-2.75 10.5458333333,-2.7458333333 10.5458333333,-2.7458333333 10.5166666667,-2.7416666667 10.5166666667,-2.7416666667 10.4958333333,-2.7333333333 10.4958333333,-2.7333333333 10.4708333333,-2.7291666667 10.4708333333,-2.7291666667 10.4291666667))"
PL10/14,PL10/14,Upwest Resources Limited Company(Formly Azumah Resources Limited),Prospecting Licence (Ghanaian),GH,Jirapa,Under Review,4/22/2014,4/21/2015,Gold,"POLYGON ((-2.85 10.6333333333,-2.8041666667 10.6333333333,-2.8041666667 10.65,-2.8 10.65,-2.8 10.6625,-2.7958333333 10.6625,-2.7958333333 10.675,-2.7916666667 10.675,-2.7916666667 10.6875,-2.7875 10.6875,-2.7875 10.7,-2.7833333333 10.7,-2.7833333333 10.7208333333,-2.7333333333 10.7208333333,-2.7333333333 10.5833333333,-2.7416666667 10.5833333333,-2.7416666667 10.5791666667,-2.7458333333 10.5791666667,-2.7458333333 10.575,-2.75 10.575,-2.75 10.5708333333,-2.8416666667 10.5708333333,-2.8416666667 10.6,-2.8458333333 10.6,-2.8458333333 10.625,-2.85 10.625,-2.85 10.6333333333))"
PL10/19,PL10/19,Azumah Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Jirapa,Under Review,6/11/2018,6/10/2021,Gold,"POLYGON ((-2.84166388888889 10.5545611111111,-2.79220555555556 10.5260861111111,-2.77163888888889 10.4165138888889,-2.772430555555 10.4055111111111,-2.8 10.3835166666667,-2.79716388888889 10.3899138888889,-2.82920833333333 10.3880444444444,-2.82637777777778 10.3907694444444,-2.82384444444444 10.3923888888889,-2.81988333333333 10.3949277777778,-2.8165 10.3962972222222,-2.8132638889 10.3969361111111,-2.80869722222222 10.3972527777778,-2.80762777777778 10.3970388888889,-2.80563055555556 10.3956666666667,-2.8011 10.395325,-2.799775 10.3955527777778,-2.79891388888889 10.3959416666667,-2.79631388888889 10.3983305555556,-2.79006388888889 10.4009027778,-2.78523611111111 10.40375,-2.77671944444444 10.4085888888889,-2.77506666666667 10.4158805555556,-2.77365277777778 10.4201666666667,-2.777325 10.4235833333333,-2.79161944444444 10.4242972222222,-2.79647222222222 10.4262444444444,-2.80759166666667 10.4281555555556,-2.821 10.4314611111111,-2.8307 10.4342277777778,-2.83440555555556 10.43505,-2.83668888888889 10.4358833333333,-2.8387 10.4386916666667,-2.864975 10.4506638888889,-2.86697777777778 10.4517805555556,-2.86900555555556 10.4576888888889,-2.87275 10.4647166666667,-2.87249722222222 10.4697916667,-2.87195277777778 10.474025,-2.871125 10.4785416667,-2.87343055555556 10.4830388888889,-2.87401944444444 10.4861388888889,-2.87718333333333 10.4911944444444,-2.88064166666667 10.4979416666667,-2.886075 10.5010111111111,-2.88893333333333 10.5029666666667,-2.89067222222222 10.50775,-2.89182222222222 10.5091527777778,-2.89410833333333 10.5105472222222,-2.89640833333333 10.5139194444444,-2.89813888888889 10.5175722222222,-2.89930833333333 10.5220777777778,-2.90021111111111 10.5299666666667,-2.89880555555556 10.5330777777778,-2.89855277777778 10.5384361111111,-2.90116388888889 10.5463138888889,-2.9054861111 10.5541833333333,-2.84166388888889 10.5545611111111,-2.84166388888889 10.5545611111111))"
PL10/43,PL10/43,Phoenix Resources Limited,Prospecting Licence (Ghanaian),GH,Jirapa,Under Review,7/18/2014,7/17/2017,Gold,"POLYGON ((-2.6665 10.7877111111111,-2.60004166666667 10.7873777777778,-2.60064722222222 10.6667888888889,-2.73345833333333 10.6662888888889,-2.733775 10.7502361111111,-2.6665 10.7504888888889,-2.6665 10.7877111111111,-2.6665 10.7877111111111))"
RL-10/143,RL-10/143,Waikan Mining Limited,Reconnaissance Licence (Ghanaian),GH,Jirapa,Active License,8/31/2023,8/30/2024,"Gold,.","POLYGON ((-2.7083 10.5833,-2.6667 10.5833,-2.6667 10.4167,-2.7083 10.4167,-2.7083 10.5833))"
RL-10/142,RL-10/142,Waikan Mining Limited,Reconnaissance Licence (Ghanaian),GH,Jirapa,Active License,8/31/2023,8/30/2024,"Gold,.","POLYGON ((-2.9 10.5542,-2.8417 10.5542,-2.8417 10.55,-2.8333 10.55,-2.8333 10.5458,-2.825 10.5458,-2.825 10.5417,-2.8208 10.5417,-2.8208 10.5375,-2.8125 10.5375,-2.8125 10.5333,-2.8042 10.5333,-2.8042 10.5292,-2.7917 10.5292,-2.7917 10.5167,-2.7875 10.5167,-2.7875 10.5,-2.7833 10.5,-2.7833 10.4792,-2.7792 10.4792,-2.7792 10.4542,-2.775 10.4542,-2.775 10.425,-2.8042 10.425,-2.8042 10.4292,-2.8208 10.4292,-2.8208 10.4333,-2.8375 10.4333,-2.8375 10.4417,-2.8458 10.4417,-2.8458 10.4458,-2.8583 10.4458,-2.8583 10.45,-2.8667 10.45,-2.8667 10.4583,-2.8708 10.4583,-2.8708 10.4833,-2.875 10.4833,-2.875 10.4917,-2.8792 10.4917,-2.8792 10.4958,-2.8833 10.4958,-2.8833 10.5,-2.8875 10.5,-2.8875 10.5042,-2.8917 10.5042,-2.8917 10.5083,-2.8958 10.5083,-2.8958 10.5167,-2.9 10.5167,-2.9 10.5542))"
QL.8/21,QL.8/21,Bilqis Mining Limited,Restricted Mining Lease >25 acres (National),GH,Gushegu,Active License,12/13/2022,12/12/2027,Granite,"POLYGON ((-0.2825 9.8966666667,-0.2825 9.9,-0.2791666667 9.9,-0.2791666667 9.8966666667,-0.2825 9.8966666667))"
PL10/37,PL10/37,Upwest Resources Limited Company(Formly Azumah Resources Limited),Prospecting Licence (Ghanaian),GH,Lambussie-karni,Under Review,7/10/2014,7/9/2016,Gold,"POLYGON ((-2.66678611111111 10.8001333333333,-2.66692777777778 10.7501638888889,-2.73349444444444 10.7501805555556,-2.73348333333333 10.7224972222222,-2.78346388888889 10.7223111111111,-2.77928333333333 10.8001388889,-2.66678611111111 10.8001333333333,-2.66678611111111 10.8001333333333))"
PL10/43,PL10/43,Phoenix Resources Limited,Prospecting Licence (Ghanaian),GH,Lambussie-karni,Under Review,7/18/2014,7/17/2017,Gold,"POLYGON ((-2.6665 10.7877111111111,-2.60004166666667 10.7873777777778,-2.60064722222222 10.6667888888889,-2.73345833333333 10.6662888888889,-2.733775 10.7502361111111,-2.6665 10.7504888888889,-2.6665 10.7877111111111,-2.6665 10.7877111111111))"
SSMP/9/282,SSMP/9/282,Sogal Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,9/7/2020,9/6/2025,Gold,"POLYGON ((-0.9083333333 10.7391666667,-0.9058333333 10.7391666667,-0.9058333333 10.7358333333,-0.9083333333 10.7358333333,-0.9083333333 10.7391666667,-0.9083333333 10.7391666667))"
