name,code,owner,type,country,status,start_date,expiry_date,assets,geometry
PL9/13,PL9/13,Cardinal Resources Ghana Limited,Prospecting Licence (Ghanaian),GH,Active License,2023-02-06,2026-02-05,Gold,"POLYGON ((-0.6666666667 10.875, -0.625 10.875, -0.625 10.8666666667, -0.6291666667 10.8666666667, -0.6291666667 10.8583333333, -0.6333333333 10.8583333333, -0.6333333333 10.85, -0.6375 10.85, -0.6375 10.8416666667, -0.6416666667 10.8416666667, -0.6416666667 10.8333333333, -0.6458333333 10.8333333333, -0.6458333333 10.8166666667, -0.65 10.8166666667, -0.65 10.7916666667, -0.6583333333 10.7916666667, -0.6583333333 10.7875, -0.6625 10.7875, -0.6625 10.7833333333, -0.6708333333 10.7833333333, -0.6708333333 10.7791666667, -0.675 10.7791666667, -0.675 10.7708333333, -0.6916666667 10.7708333333, -0.6916666667 10.775, -0.7083333333 10.775, -0.7083333333 10.8041666667, -0.7208333333 10.8041666667, -0.7208333333 10.7916666667, -0.725 10.7916666667, -0.725 10.7833333333, -0.7375 10.7833333333, -0.7375 10.7875, -0.75 10.7875, -0.75 10.7916666667, -0.7666666667 10.7916666667, -0.7666666667 10.8041666667, -0.7625 10.8041666667, -0.7625 10.8083333333, -0.7583333333 10.8083333333, -0.7583333333 10.8166666667, -0.75 10.8166666667, -0.75 10.8291666667, -0.7416666667 10.8291666667, -0.7416666667 10.8333333333, -0.7375 10.8333333333, -0.7375 10.8375, -0.725 10.8375, -0.725 10.8333333333, -0.7208333333 10.8333333333, -0.7208333333 10.8291666667, -0.7166666667 10.8291666667, -0.7166666667 10.825, -0.7083333333 10.825, -0.7083333333 10.8166666667, -0.7 10.8166666667, -0.7 10.8208333333, -0.6958333333 10.8208333333, -0.6958333333 10.8291666667, -0.6916666667 10.8291666667, -0.6916666667 10.8375, -0.6875 10.8375, -0.6875 10.8416666667, -0.6833333333 10.8416666667, -0.6833333333 10.85, -0.6791666667 10.85, -0.6791666667 10.8583333333, -0.675 10.8583333333, -0.675 10.8625, -0.6708333333 10.8625, -0.6708333333 10.8708333333, -0.6666666667 10.8708333333, -0.6666666667 10.875))"
SSML-O6 11/2023,SSML-O6 11/2023,Afridanso Ghana Ltd,Small Scale Licence (Obuasi District),GH,Active License,2023-08-29,2028-08-28,Gold,"POLYGON ((-1.7033 6.3383, -1.7025 6.3383, -1.7025 6.3333, -1.7042 6.3333, -1.7042 6.3375, -1.7033 6.3375, -1.7033 6.3383))"
SSML-T2 24/2024,SSML-T2 24/2024,FIELD-PULSE VENTURES,Small Scale Licence (Tarkwa District),GH,Active License,2024-09-04,2029-09-03,Gold,"POLYGON ((-2.2041666667 5.2366666667, -2.2066666667 5.2366666667, -2.2066666667 5.24, -2.2041666667 5.24, -2.2041666667 5.2366666667))"
RML-QL-5/296,RML-QL-5/296,Baruch Services Gh (Base Gh,Restricted Mining Lease (Small Scale),GH,Active License,2024-06-13,2026-06-12,Sand/ Gravel,"POLYGON ((-0.1175 5.8892, -0.1175 5.8883, -0.1183 5.8883, -0.1183 5.8867, -0.1208 5.8867, -0.1208 5.8892, -0.1175 5.8892))"
RML-QL-1/293,RML-QL-1/293,Baruch Services Gh (Base Gh,Restricted Mining Lease (Sand & Gravel),GH,Active License,2024-05-02,2026-05-01,Sand/ Gravel,"POLYGON ((0.0142 5.9817, 0.0158 5.9817, 0.0158 5.9808, 0.0142 5.9808, 0.0142 5.9817))"
RML-N-LAYER/179,RML-N-LAYER/179,Abronye Communication Limited,Restricted Mining Lease (Ghanaian),GH,Active License,2024-06-11,2029-06-10,Granite,"POLYGON ((-2.1417 7.5875, -2.1392 7.5875, -2.1392 7.5833, -2.1425 7.5833, -2.1425 7.5842, -2.1408 7.5842, -2.1408 7.5858, -2.1417 7.5858, -2.1417 7.5875))"
PL-I-3/21,PL-I-3/21,Planet One Natural Resources Ghana Limited,Prospecting Licence (Foreign),GH,Active License,2024-02-15,2027-02-14,Lithium,"POLYGON ((-1.3125 5.3125, -1.2666666667 5.3125, -1.2666666667 5.2291666667, -1.2708333333 5.2291666667, -1.2708333333 5.2458333333, -1.2916666667 5.2458333333, -1.2916666667 5.2166666667, -1.3041666667 5.2166666667, -1.3041666667 5.2083333333, -1.3125 5.2083333333, -1.3125 5.3125))"
PL-I-GH/22,PL-I-GH/22,Planet One Natural Resources Ghana Limited,Prospecting Licence (Foreign),GH,Active License,2024-02-15,2027-02-14,Lithium,"POLYGON ((-1.1458 5.3417, -1.0708 5.3417, -1.0708 5.3083, -1.1458 5.3083, -1.1458 5.3417))"
PL-I-3/25,PL-I-3/25,Planet One Natural Resources Ghana Limited,Prospecting Licence (Foreign),GH,Active License,2024-02-15,2027-02-14,Lithium,"POLYGON ((-0.6416666667 5.5708333333, -0.5458333333 5.5708333333, -0.5458333333 5.5, -0.6416666667 5.5, -0.6416666667 5.5708333333))"
PL-I-3/26,PL-I-3/26,Planet One Natural Resources Ghana Limited,Prospecting Licence (Foreign),GH,Active License,2024-02-15,2027-02-14,Lithium,"POLYGON ((-0.7416666667 5.5041666667, -0.6666666667 5.5041666667, -0.6666666667 5.4625, -0.7166666667 5.4625, -0.7166666667 5.4458333333, -0.725 5.4458333333, -0.725 5.4375, -0.7291666667 5.4375, -0.7291666667 5.4291666667, -0.7375 5.4291666667, -0.7375 5.4208333333, -0.7458333333 5.4208333333, -0.7458333333 5.4125, -0.75 5.4125, -0.75 5.4041666667, -0.7875 5.4041666667, -0.7875 5.4291666667, -0.7708333333 5.4291666667, -0.7708333333 5.4583333333, -0.7416666667 5.4583333333, -0.7416666667 5.5041666667))"
PL5/785,PL5/785,Witepearl Enterprise Ltd,Prospecting Licence (Ghanaian),GH,Active License,2023-03-03,2026-03-02,"Gold,.","POLYGON ((-1.0833333333 6.3708333333, -1.0833333333 6.3583333333, -1.1083333333 6.3583333333, -1.1083333333 6.3625, -1.1 6.3625, -1.1 6.3666666667, -1.0916666667 6.3666666667, -1.0916666667 6.3708333333, -1.0875 6.3708333333, -1.0875 6.375, -1.0791666667 6.375, -1.0791666667 6.3791666667, -1.0541666667 6.3791666667, -1.0541666667 6.3708333333, -1.0833333333 6.3708333333))"
SSML-O6 29/2023,SSML-O6 29/2023,Isaac Osei Gold Enterprise,Small Scale Licence (Obuasi District),GH,Active License,2023-12-13,2028-12-12,Gold,"POLYGON ((-1.4417 6.395, -1.4417 6.3958, -1.44 6.3958, -1.44 6.3942, -1.4408 6.3942, -1.4408 6.395, -1.4417 6.395))"
SSML-O6 13/2023,SSML-O6 13/2023,GEOSEARCH LIMITED,Small Scale Licence (Obuasi District),GH,Active License,2023-10-20,2028-10-19,Gold,"POLYGON ((-1.4408 6.3925, -1.4392 6.3925, -1.4392 6.39, -1.4408 6.39, -1.4408 6.3925))"
SSML-O6 5/2023,SSML-O6 5/2023,Abuoso Nnipankyeremia Community Mining Company Limited,Small Scale Licence (Obuasi District),GH,Active License,2023-06-22,2028-06-21,"Diamonds,Gold","POLYGON ((-2.1525 6.38, -2.1541666667 6.38, -2.1541666667 6.3791666667, -2.155 6.3791666667, -2.155 6.3775, -2.1566666667 6.3775, -2.1566666667 6.3791666667, -2.1558333333 6.3791666667, -2.1558333333 6.38, -2.155 6.38, -2.155 6.3808333333, -2.1541666667 6.3808333333, -2.1541666667 6.3816666667, -2.1525 6.3816666667, -2.1525 6.38))"
SSML-O6 6/2023,SSML-O6 6/2023,Abuoso Nnipankyeremia Community Mining Company Limited,Small Scale Licence (Obuasi District),GH,Active License,2023-06-22,2028-06-21,"Gold,Diamonds","POLYGON ((-2.1533333333 6.355, -2.1566666667 6.355, -2.1566666667 6.3575, -2.1541666667 6.3575, -2.1541666667 6.3566666667, -2.1533333333 6.3566666667, -2.1533333333 6.355))"
MC/SSMP/AR/49,MC/SSMP/AR/49,Konongo-Odumasi Co-operative Small Scale Mining,Small Scale Licence (Konongo District),GH,Active License,2023-02-16,2028-02-15,"Gold,Diamonds","POLYGON ((-1.2258333333 6.6291666667, -1.2258333333 6.63, -1.2241666667 6.63, -1.2241666667 6.6308333333, -1.2216666667 6.6308333333, -1.2216666667 6.63, -1.2233333333 6.63, -1.2233333333 6.6291666667, -1.2258333333 6.6291666667))"
