name,code,owner,type,country,status,start_date,expiry_date,assets,geometry
ML6/2,ML6/2,Ghana-Russia-CIS Limited,Mining Lease,GH,Active License,2020-02-20,2034-02-19,Gold,"POLYGON ((-1.8541666667 6.4583333333, -1.8333333333 6.4583333333, -1.8333333333 6.4166666667, -1.8458333333 6.4166666667, -1.8458333333 6.4333333333, -1.85 6.4333333333, -1.85 6.4375, -1.8583333333 6.4375, -1.8583333333 6.4458333333, -1.8541666667 6.4458333333, -1.8541666667 6.4583333333, -1.8541666667 6.4583333333))"
ML2/6,ML2/6,OneX International Company Limited,Mining Lease,GH,Active License,2020-01-06,2030-01-05,Gold,"POLYGON ((-2.2208333333 6.1708333333, -2.2166666667 6.1708333333, -2.2166666667 6.1458333333, -2.2375 6.1458333333, -2.2375 6.1875, -2.2333333333 6.1875, -2.2333333333 6.1916666667, -2.2208333333 6.1916666667, -2.2208333333 6.1708333333, -2.2208333333 6.1708333333))"
SL1/86,SL1/86,ElectroChem Ghana Limited,Restricted Mining Lease >25 acres (National),GH,Active License,2020-10-29,2035-10-28,Salt,"POLYGON ((0.5083333333 5.7875, 0.4416666667 5.7875, 0.4416666667 5.7958333333, 0.4375 5.7958333333, 0.4375 5.8, 0.4333333333 5.8, 0.4333333333 5.8416666667, 0.4291666667 5.8416666667, 0.4291666667 5.8541666667, 0.4375 5.8541666667, 0.4375 5.8666666667, 0.4458333333 5.8666666667, 0.4458333333 5.8625, 0.4875 5.8625, 0.4875 5.8583333333, 0.4916666667 5.8583333333, 0.4916666667 5.8541666667, 0.5 5.8541666667, 0.5 5.85, 0.5041666667 5.85, 0.5041666667 5.8041666667, 0.5083333333 5.8041666667, 0.5083333333 5.7875, 0.5083333333 5.7875))"
SL1/87,SL1/87,ElectroChem Ghana Limited,Restricted Mining Lease >25 acres (National),GH,Active License,2020-10-29,2035-10-28,Salt,"POLYGON ((0.5833333333 5.7791666667, 0.5416666667 5.7791666667, 0.5416666667 5.7833333333, 0.5083333333 5.7833333333, 0.5083333333 5.8041666667, 0.5041666667 5.8041666667, 0.5041666667 5.85, 0.5458333333 5.85, 0.5458333333 5.8458333333, 0.5833333333 5.8458333333, 0.5833333333 5.7791666667))"
QL6/565,QL6/565,Asona Stone Quarry Company Limited,Restricted Mining Lease >25 acres (National),GH,Active License,2022-03-22,2027-03-21,Granite,"POLYGON ((-1.6608333333 6.29, -1.6566666667 6.29, -1.6566666667 6.2875, -1.6583333333 6.2875, -1.6583333333 6.2883333333, -1.6608333333 6.2883333333, -1.6608333333 6.29))"
SSMP/5/2024,SSMP/5/2024,"Rowgee Ltd., Ramco",Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-04,2025-10-03,Gold,"POLYGON ((-0.43 6.3433333333, -0.4275 6.3433333333, -0.4275 6.34, -0.43 6.34, -0.43 6.3433333333, -0.43 6.3433333333))"
SSMP/WR/2298,SSMP/WR/2298,TUAPIM SMALL SCALE MINING,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-08,2025-09-07,Gold,"POLYGON ((-2.1908333333 4.9666666667, -2.1908333333 4.9616666667, -2.1916666667 4.9616666667, -2.1916666667 4.9608333333, -2.1933333333 4.9608333333, -2.1933333333 4.9625, -2.1916666667 4.9625, -2.1916666667 4.9666666667, -2.1908333333 4.9666666667, -2.1908333333 4.9666666667))"
SSMP 618 CR,SSMP 618 CR,Tudjani Company Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2021-05-10,2026-05-09,Gold,"POLYGON ((-1.5681055555555556 5.576822222222222, -1.5680944444444445 5.579611111111111, -1.5651833333333334 5.579613888888889, -1.5651916666666668 5.576825, -1.5681055555555556 5.576822222222222, -1.5681055555555556 5.576822222222222))"
SSMP/6/2385,SSMP/6/2385,TWENTIETH CENTURY,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-08,2025-09-07,Gold,"POLYGON ((-1.6066666667 6.1541666667, -1.6066666667 6.1558333333, -1.6016666667 6.1558333333, -1.6016666667 6.1541666667, -1.6066666667 6.1541666667, -1.6066666667 6.1541666667))"
WR/2324,WR/2324,Twist And Turns Mining Company Limited,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-17,2025-09-16,Gold,"POLYGON ((-2.8 5.8541666667, -2.7983333333 5.8541666667, -2.7983333333 5.8533333333, -2.7975 5.8533333333, -2.7975 5.8525, -2.7983333333 5.8525, -2.7983333333 5.8516666667, -2.7991666667 5.8516666667, -2.7991666667 5.8525, -2.8008333333 5.8525, -2.8008333333 5.855, -2.8 5.855, -2.8 5.8541666667, -2.8 5.8541666667))"
SSMP/5/2025,SSMP/5/2025,"Rowgee Ltd., Ramco",Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-05,2025-10-04,"Gold,Diamonds","POLYGON ((-0.4358333333 6.3491666667, -0.4333333333 6.3491666667, -0.4333333333 6.3458333333, -0.4358333333 6.3458333333, -0.4358333333 6.3491666667, -0.4358333333 6.3491666667))"
SSMP/5/2032,SSMP/5/2032,MC Under Review,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-05,2025-10-04,Gold,"POLYGON ((-0.4341666667 6.3358333333, -0.4341666667 6.3383333333, -0.4316666667 6.3383333333, -0.4316666667 6.3341666667, -0.4325 6.3341666667, -0.4325 6.335, -0.4333333333 6.335, -0.4333333333 6.3358333333, -0.4341666667 6.3358333333, -0.4341666667 6.3358333333))"
SSMP/6/2285,SSMP/6/2285,UNIFIED MINING ENT,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-07,2025-09-06,Gold,"POLYGON ((-1.5625 6.3458333333, -1.5625 6.3491666667, -1.5608333333 6.3491666667, -1.5608333333 6.3458333333, -1.5625 6.3458333333, -1.5625 6.3458333333))"
AR/1440,AR/1440,Sika Global Investment Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2016-04-08,2026-05-10,Gold,"POLYGON ((-1.2975055555555555 6.3947222222, -1.300836111111111 6.394444444445, -1.300836111111111 6.397505555555556, -1.2975055555555555 6.396675, -1.2975055555555555 6.3947222222, -1.2975055555555555 6.3947222222))"
SSMP/6/2267,SSMP/6/2267,Silverling Mining Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-07,2025-10-06,Gold,"POLYGON ((-1.5625 6.3625, -1.5625 6.3641666667, -1.5583333333 6.3641666667, -1.5583333333 6.3625, -1.5625 6.3625, -1.5625 6.3625))"
ER/835,ER/835,Siwag Ventures,Small Scale Licence (Akim Oda District),GH,Active License,2020-05-21,2025-05-20,Gold,"POLYGON ((-0.6583333333 6.3558333333, -0.6591666667 6.3558333333, -0.6591666667 6.3566666667, -0.6608333333 6.3566666667, -0.6608333333 6.3583333333, -0.6583333333 6.3583333333, -0.6583333333 6.3558333333, -0.6583333333 6.3558333333))"
SSMP/6/2663,SSMP/6/2663,VICTORY MINING,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-12-24,2025-12-23,Gold,"POLYGON ((-1.7375 6.0975, -1.7375 6.0941666667, -1.7383333333 6.0941666667, -1.7383333333 6.095, -1.7391666667 6.095, -1.7391666667 6.0975, -1.7375 6.0975, -1.7375 6.0975))"
SSMP/6/2386,SSMP/6/2386,Sixty Century Mining Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-17,2025-09-16,Gold,"POLYGON ((-1.6 6.15, -1.6 6.1533333333, -1.5983333333 6.1533333333, -1.5983333333 6.1508333333, -1.5991666667 6.1508333333, -1.5991666667 6.15, -1.6 6.15, -1.6 6.15))"
SSMP/9/282,SSMP/9/282,Sogal Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-07,2025-09-06,Gold,"POLYGON ((-0.9083333333 10.7391666667, -0.9058333333 10.7391666667, -0.9058333333 10.7358333333, -0.9083333333 10.7358333333, -0.9083333333 10.7391666667, -0.9083333333 10.7391666667))"
SSMP/6/2401,SSMP/6/2401,Stanchris Mining Group Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-25,2025-11-24,Gold,"POLYGON ((-1.7666666667 6.2658333333, -1.7666666667 6.2675, -1.7625 6.2675, -1.7625 6.2658333333, -1.7666666667 6.2658333333, -1.7666666667 6.2658333333))"
SSMP/5/2472,SSMP/5/2472,Steadfast Plus Mining Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-19,2025-11-18,Gold,"POLYGON ((-0.7408333333 6.325, -0.7425 6.325, -0.7425 6.3275, -0.7433333333 6.3275, -0.7433333333 6.3291666667, -0.7408333333 6.3291666667, -0.7408333333 6.325, -0.7408333333 6.325))"
SSMP/1237,SSMP/1237,Ranamoah Mining Ent,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-09,2025-11-08,Gold,"POLYGON ((-1.6166666667 5.9166666667, -1.6166666667 5.9158333333, -1.6175 5.9158333333, -1.6175 5.9125, -1.6183333333 5.9125, -1.6183333333 5.9166666667, -1.6166666667 5.9166666667, -1.6166666667 5.9166666667))"
WR/208,WR/208,Stejoan Mining Group,Small Scale  Licence (Assin Fosu District),GH,Active License,2020-09-17,2025-09-16,Gold,"POLYGON ((-1.9966666667 5.2958333333, -1.9966666667 5.2966666667, -1.9966666667 5.2975, -1.9958333333 5.2975, -1.9958333333 5.3, -1.9941666667 5.3, -1.9941666667 5.2991666667, -1.995 5.2991666667, -1.995 5.2966666667, -1.9958333333 5.2966666667, -1.9958333333 5.295, -1.9975 5.295, -1.9975 5.2933333333, -1.9983333333 5.2933333333, -1.9983333333 5.2958333333, -1.9966666667 5.2958333333, -1.9966666667 5.2958333333))"
1019,1019,Winbe Mining Company Limited,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-12-16,2025-12-15,"Gold,Diamonds","POLYGON ((-3.1625 6.75, -3.1958333333 6.75, -3.1958333333 6.7541666667, -3.2125 6.7541666667, -3.2125 6.7625, -3.2208333333 6.7625, -3.2208333333 6.7666666667, -3.2166666667 6.7666666667, -3.2166666667 6.7708333333, -3.2291666667 6.7708333333, -3.2291666667 6.7916666667, -3.1625 6.7916666667, -3.1625 6.75, -3.1625 6.75))"
SSMP/5/2045,SSMP/5/2045,Step by Step Mining & Construction Group,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-19,2025-11-18,Gold,"POLYGON ((-0.7275 6.265, -0.7275 6.2683333333, -0.7258333333 6.2683333333, -0.7258333333 6.265, -0.7275 6.265, -0.7275 6.265))"
MC/SSMP/CR/1149,MC/SSMP/CR/1149,XIMM RESOURCES,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-25,2025-11-24,Gold,"POLYGON ((-2.0266666667 6.2791666667, -2.0241666667 6.2791666667, -2.0241666667 6.2758333333, -2.0266666667 6.2758333333, -2.0266666667 6.2791666667, -2.0266666667 6.2791666667))"
SSMP/5/1386,SSMP/5/1386,Yaamuka Allah Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2021-01-06,2026-01-05,Gold,"POLYGON ((-0.5775 6.3816666667, -0.575 6.3816666667, -0.575 6.38, -0.5741666667 6.38, -0.5741666667 6.3791666667, -0.5758333333 6.3791666667, -0.5758333333 6.3808333333, -0.5775 6.3808333333, -0.5775 6.3816666667, -0.5775 6.3816666667))"
SSMP/5/2046,SSMP/5/2046,Reformed Mines,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-19,2025-11-18,Gold,"POLYGON ((-0.72 6.2558333333, -0.7191666667 6.2558333333, -0.7191666667 6.25, -0.7208333333 6.25, -0.7208333333 6.2541666667, -0.72 6.2541666667, -0.72 6.2558333333, -0.72 6.2558333333))"
SSMP/2302,SSMP/2302,Stevnuf Ventures,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-07,2025-10-06,Gold,"POLYGON ((-2.0291666667 5.0433333333, -2.0341666667 5.0433333333, -2.0341666667 5.0466666667, -2.0325 5.0466666667, -2.0325 5.0441666667, -2.0291666667 5.0441666667, -2.0291666667 5.0433333333, -2.0291666667 5.0433333333))"
SSMP/AHR/4,SSMP/AHR/4,Stonewell Co. Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-08-07,2025-08-06,Gold,"POLYGON ((-2.3858333333 6.8666666667, -2.3825 6.8666666667, -2.3825 6.865, -2.3841666667 6.865, -2.3841666667 6.8633333333, -2.3858333333 6.8633333333, -2.3858333333 6.8666666667, -2.3858333333 6.8666666667))"
SSMP/AR/2000,SSMP/AR/2000,Rickwat Logistics,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-05-26,2025-05-25,"Gold,Diamonds","POLYGON ((-1.9525 6.1558333333, -1.9525 6.1541666667, -1.9558333333 6.1541666667, -1.9558333333 6.1566666667, -1.9541666667 6.1566666667, -1.9541666667 6.1558333333, -1.9525 6.1558333333, -1.9525 6.1558333333))"
SSMP/9/281,SSMP/9/281,YANIA RESOURCES,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-07,2025-09-06,Gold,"POLYGON ((-0.9016666667 10.745, -0.9 10.745, -0.9 10.7425, -0.9008333333 10.7425, -0.9008333333 10.7416666667, -0.9033333333 10.7416666667, -0.9033333333 10.7433333333, -0.9025 10.7433333333, -0.9025 10.7441666667, -0.9016666667 10.7441666667, -0.9016666667 10.745, -0.9016666667 10.745))"
SSMP/AR/2226,SSMP/AR/2226,Strikepath Mining Ventures,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-08-30,2025-08-29,Gold,"POLYGON ((-1.755 6.3025, -1.755 6.2975, -1.7566666667 6.2975, -1.7566666667 6.3025, -1.755 6.3025, -1.755 6.3025))"
SSMP/2/2392,SSMP/2/2392,Rio & Co. Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-08-13,2025-08-12,Gold,"POLYGON ((-2.435 5.0508333333, -2.4383333333 5.0508333333, -2.4383333333 5.0525, -2.4375 5.0525, -2.4375 5.0533333333, -2.435 5.0533333333, -2.435 5.0508333333, -2.435 5.0508333333))"
SSMP/5/1385,SSMP/5/1385,Subhanallah Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2021-01-06,2026-01-05,Gold,"POLYGON ((-0.5708333333 6.3883333333, -0.5666666667 6.3883333333, -0.5666666667 6.3875, -0.5658333333 6.3875, -0.5658333333 6.3866666667, -0.5708333333 6.3866666667, -0.5708333333 6.3883333333, -0.5708333333 6.3883333333))"
MC/SSMP/CR/1151,MC/SSMP/CR/1151,YARATTI RESOURCES,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-25,2025-11-24,Gold,"POLYGON ((-2.0291666667 6.2758333333, -2.0258333333 6.2758333333, -2.0258333333 6.2733333333, -2.0291666667 6.2733333333, -2.0291666667 6.2758333333, -2.0291666667 6.2758333333))"
SSMP/CR/1169,SSMP/CR/1169,YARATTI RESOURCES,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-09,2025-11-08,Gold,"POLYGON ((-1.7225 5.93, -1.7225 5.9316666667, -1.7233333333 5.9316666667, -1.7233333333 5.9333333333, -1.72 5.9333333333, -1.72 5.9316666667, -1.7208333333 5.9316666667, -1.7208333333 5.93, -1.7225 5.93, -1.7225 5.93))"
SSMP/5/2028,SSMP/5/2028,Rowgee Ghana Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-05,2025-10-04,Gold,"POLYGON ((-0.43 6.3475, -0.4283333333 6.3475, -0.4283333333 6.345, -0.4291666667 6.345, -0.4291666667 6.3441666667, -0.4316666667 6.3441666667, -0.4316666667 6.345, -0.4308333333 6.345, -0.4308333333 6.3458333333, -0.43 6.3458333333, -0.43 6.3475, -0.43 6.3475))"
SSMP/5/2030,SSMP/5/2030,Rowgee Ghana Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-05,2025-10-04,Gold,"POLYGON ((-0.4316666667 6.3383333333, -0.4291666667 6.3383333333, -0.4291666667 6.335, -0.4316666667 6.335, -0.4316666667 6.3383333333, -0.4316666667 6.3383333333))"
SSMP/6/2405,SSMP/6/2405,Royal Gold Mines Fields Limited,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-25,2025-11-24,Gold,"POLYGON ((-1.7691666667 6.2408333333, -1.7716666667 6.2408333333, -1.7716666667 6.2441666667, -1.77 6.2441666667, -1.77 6.2425, -1.7691666667 6.2425, -1.7691666667 6.2408333333, -1.7691666667 6.2408333333))"
SSMP/6/2276,SSMP/6/2276,R S Akosah Ventures,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-12-24,2025-12-23,Gold,"POLYGON ((-1.8616666667 6.4491666667, -1.8616666667 6.4483333333, -1.865 6.4483333333, -1.865 6.4491666667, -1.8616666667 6.4491666667, -1.8616666667 6.4491666667))"
SSMP/5/1351,SSMP/5/1351,Safak Abacus Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2021-05-11,2026-05-10,Gold,"POLYGON ((-0.8216666667 6.2658333333, -0.8191666667 6.2658333333, -0.8191666667 6.2616666667, -0.82 6.2616666667, -0.82 6.2625, -0.8208333333 6.2625, -0.8208333333 6.2641666667, -0.8216666667 6.2641666667, -0.8216666667 6.2658333333, -0.8216666667 6.2658333333))"
SSMP/WR/2185,SSMP/WR/2185,Zalle Mining Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-25,2025-11-24,Gold,"POLYGON ((-2.2183333333 5.025, -2.2158333333 5.025, -2.2158333333 5.0233333333, -2.2183333333 5.0233333333, -2.2183333333 5.025, -2.2183333333 5.025))"
SSMP/ER/390,SSMP/ER/390,Salamatu Kalifa & Group,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-08-27,2025-08-26,Gold,"POLYGON ((-0.7075 6.3225, -0.7058333333 6.3225, -0.7058333333 6.32, -0.7075 6.32, -0.7075 6.3225, -0.7075 6.3225))"
SSMP/6/2413,SSMP/6/2413,ZEAL MAMBA CO. LTD,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-12-04,2025-12-03,Gold,"POLYGON ((-1.7466666667 6.28, -1.7491666667 6.28, -1.7491666667 6.2816666667, -1.75 6.2816666667, -1.75 6.2833333333, -1.7483333333 6.2833333333, -1.7483333333 6.2825, -1.7475 6.2825, -1.7475 6.2816666667, -1.7466666667 6.2816666667, -1.7466666667 6.28, -1.7466666667 6.28))"
AR/306,AR/306,Salt Lake Ventures,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-08-10,2025-08-09,Gold,"POLYGON ((-1.7408333333 6.0375, -1.7408333333 6.04, -1.7383333333 6.04, -1.7383333333 6.0375, -1.7408333333 6.0375, -1.7408333333 6.0375))"
SSMP/6/2392,SSMP/6/2392,Sam Quainoo Ent,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-16,2025-09-15,Gold,"POLYGON ((-1.5908333333 6.165, -1.5908333333 6.1675, -1.5883333333 6.1675, -1.5883333333 6.165, -1.5908333333 6.165, -1.5908333333 6.165))"
SSMP/6/2343,SSMP/6/2343,Sambar Mining Ent,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-14,2025-10-13,"Diamonds,Gold","POLYGON ((-1.6758333333 5.9258333333, -1.6758333333 5.93, -1.6741666667 5.93, -1.6741666667 5.9258333333, -1.6758333333 5.9258333333, -1.6758333333 5.9258333333))"
SSMP/9/289,SSMP/9/289,ZENA RESOURCES,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-08-27,2025-08-26,Gold,"POLYGON ((-0.9041666667 10.74, -0.9 10.74, -0.9 10.7366666667, -0.9008333333 10.7366666667, -0.9008333333 10.7375, -0.9016666667 10.7375, -0.9016666667 10.7383333333, -0.9033333333 10.7383333333, -0.9033333333 10.7391666667, -0.9041666667 10.7391666667, -0.9041666667 10.74, -0.9041666667 10.74))"
SSMP/WR/2194,SSMP/WR/2194,Tamsoman SSM Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-03,2025-09-02,Gold,"POLYGON ((-2.1925 4.9575, -2.19 4.9575, -2.19 4.9541666667, -2.1925 4.9541666667, -2.1925 4.9575, -2.1925 4.9575))"
SSMP/CR/577,SSMP/CR/577,Sandymay Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-12-22,2025-12-21,Gold,"POLYGON ((-1.68 5.9208333333, -1.6775 5.9208333333, -1.6775 5.92, -1.68 5.92, -1.68 5.9208333333, -1.68 5.9208333333))"
SSMP/9/285,SSMP/9/285,Tikore Mines,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-03,2025-09-02,Gold,"POLYGON ((-0.9 10.7333333333, -0.8991666667 10.7333333333, -0.8991666667 10.7325, -0.8983333333 10.7325, -0.8983333333 10.7308333333, -0.8966666667 10.7308333333, -0.8966666667 10.73, -0.9008333333 10.73, -0.9008333333 10.7325, -0.9 10.7325, -0.9 10.7333333333, -0.9 10.7333333333))"
SSMP/5/1387,SSMP/5/1387,Sarforo Prestige Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-12-24,2025-12-23,Gold,"POLYGON ((-0.6408333333 6.41, -0.6441666667 6.41, -0.6441666667 6.4125, -0.6408333333 6.4125, -0.6408333333 6.41, -0.6408333333 6.41))"
SSMP/15/1,SSMP/15/1,Tinga Mining Cooperative,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-07,2025-10-06,Gold,"POLYGON ((-2.1566666667 8.5725, -2.155 8.5725, -2.155 8.5708333333, -2.1566666667 8.5708333333, -2.1566666667 8.57, -2.1583333333 8.57, -2.1583333333 8.5691666667, -2.16 8.5691666667, -2.16 8.5708333333, -2.1583333333 8.5708333333, -2.1583333333 8.5716666667, -2.1566666667 8.5716666667, -2.1566666667 8.5725, -2.1566666667 8.5725))"
SSMP/15/2,SSMP/15/2,"Tinga Wenchi Wenchi  Cooperative, Tinga Wenchi Wenchi  Cooperative",Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-16,2025-09-15,Gold,"POLYGON ((-2.1541666667 8.5625, -2.1516666667 8.5625, -2.1516666667 8.5616666667, -2.1525 8.5616666667, -2.1525 8.5608333333, -2.1533333333 8.5608333333, -2.1533333333 8.5583333333, -2.155 8.5583333333, -2.155 8.5616666667, -2.1541666667 8.5616666667, -2.1541666667 8.5625, -2.1541666667 8.5625))"
SSMP/3/1242,SSMP/3/1242,SD Mining Ent>,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-09,2025-11-08,Gold,"POLYGON ((-1.6216666667 5.9166666667, -1.6216666667 5.9141666667, -1.625 5.9141666667, -1.625 5.9166666667, -1.6216666667 5.9166666667, -1.6216666667 5.9166666667))"
AR/237,AR/237,TLG Trans Limited Company,Small Scale Licence (Obuasi District),GH,Active License,2020-05-22,2025-05-21,Gold,"POLYGON ((-1.9658333333 6.085, -1.9675 6.085, -1.9675 6.0858333333, -1.9683333333 6.0858333333, -1.9683333333 6.0866666667, -1.9691666667 6.0866666667, -1.9691666667 6.0883333333, -1.97 6.0883333333, -1.97 6.0891666667, -1.9675 6.0891666667, -1.9675 6.0866666667, -1.9658333333 6.0866666667, -1.9658333333 6.085, -1.9658333333 6.085))"
AR/2203,AR/2203,Sedbless Mining Ventures,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-25,2025-11-24,Gold,"POLYGON ((-1.7325 6.305, -1.7325 6.3041666667, -1.7333333333 6.3041666667, -1.7333333333 6.3033333333, -1.7358333333 6.3033333333, -1.7358333333 6.3025, -1.7383333333 6.3025, -1.7383333333 6.3041666667, -1.7341666667 6.3041666667, -1.7341666667 6.305, -1.7325 6.305, -1.7325 6.305))"
SSMP/6/2505,SSMP/6/2505,Trustandy Plus Ventures,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-12-24,2025-12-23,Gold,"POLYGON ((-1.6883333333 6.26, -1.6883333333 6.2616666667, -1.6841666667 6.2616666667, -1.6841666667 6.26, -1.6883333333 6.26, -1.6883333333 6.26))"
SSMP/6/2315,SSMP/6/2315,10+2 Enterprise,Small Scale Licence (Obuasi District),GH,Active License,2020-11-26,2025-11-25,Gold,"POLYGON ((-1.6791666667 6.1166666667, -1.6791666667 6.1141666667, -1.6825 6.1141666667, -1.6825 6.1166666667, -1.6791666667 6.1166666667, -1.6791666667 6.1166666667))"
SSMP/5/1339,SSMP/5/1339,1920 Mining Ent,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-07-30,2025-07-29,Gold,"POLYGON ((-0.830069444445 6.5058333333, -0.830069444445 6.5041666667, -0.8292361111 6.5041666667, -0.8292361111 6.5016666667, -0.830069444445 6.5016666667, -0.830069444445 6.5025, -0.8309027778 6.5025, -0.8309027778 6.5033333333, -0.8317361111 6.5033333333, -0.8317361111 6.5058333333, -0.830069444445 6.5058333333, -0.830069444445 6.5058333333))"
MC/SSMP/3/1281,MC/SSMP/3/1281,1st John Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-25,2025-11-24,Gold,"POLYGON ((-1.5608333333 5.9183333333, -1.5625 5.9183333333, -1.5625 5.9216666667, -1.5616666667 5.9216666667, -1.5616666667 5.9208333333, -1.5608333333 5.9208333333, -1.5608333333 5.9183333333, -1.5608333333 5.9183333333))"
SSMP/6/2478,SSMP/6/2478,2 TO 11 Mining Co. Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-19,2025-11-18,Gold,"POLYGON ((-2.3925 6.8466666667, -2.3875 6.8466666667, -2.3875 6.845, -2.3925 6.845, -2.3925 6.8466666667, -2.3925 6.8466666667))"
SSMP/AR/2157,SSMP/AR/2157,Nell Bee Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2021-05-12,2026-05-11,Gold,"POLYGON ((-1.4516666667 6.3891666667, -1.4508333333 6.3891666667, -1.4508333333 6.39, -1.45 6.39, -1.45 6.3908333333, -1.4491666667 6.3908333333, -1.4491666667 6.3866666667, -1.45 6.3866666667, -1.45 6.3883333333, -1.4516666667 6.3883333333, -1.4516666667 6.3891666667, -1.4516666667 6.3891666667))"
SSMP/12/93,SSMP/12/93,2000 Mining Co.Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-19,2025-11-18,Gold,"POLYGON ((-2.3975 6.8508333333, -2.3925 6.8508333333, -2.3925 6.8491666667, -2.3975 6.8491666667, -2.3975 6.8508333333, -2.3975 6.8508333333))"
SSMP/WR/2226,SSMP/WR/2226,Neptune Gold & Const. Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-12-24,2025-12-23,Gold,"POLYGON ((-2.2283333333 4.95, -2.225 4.95, -2.225 4.9483333333, -2.2266666667 4.9483333333, -2.2266666667 4.9475, -2.2283333333 4.9475, -2.2283333333 4.95, -2.2283333333 4.95))"
CR/1021,CR/1021,2012 MiningTrad. Vent.,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-11-19,2025-11-18,Gold,"POLYGON ((-1.6866666667 5.926669444444444, -1.6883305555555554 5.926669444444444, -1.6883305555555554 5.9258333333, -1.6900027777777777 5.9258333333, -1.6900027777777777 5.9291666667, -1.6891722222222223 5.9291666667, -1.6891722222222223 5.928341666666666, -1.6874944444444444 5.928341666666666, -1.6874944444444444 5.927505555555555, -1.6866666667 5.927505555555555, -1.6866666667 5.926669444444444, -1.6866666667 5.926669444444444))"
